YEAR,STATE,DAY_WEEK,INJ_SEV,State,Day,Region,Time Window
2022,1,5,4,Alabama,Thursday,US Mainland,Weekday (Mon–Thu)
2022,1,5,0,Alabama,Thursday,US Mainland,Weekday (Mon–Thu)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,4,4,Alabama,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,2,4,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,2,2,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,4,4,Alabama,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,1,2,4,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,5,4,Alabama,Thursday,US Mainland,Weekday (Mon–Thu)
2022,1,1,4,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,7,3,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,2,4,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,2,4,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,4,4,Alabama,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,6,0,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,2,4,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,5,4,Alabama,Thursday,US Mainland,Weekday (Mon–Thu)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,1,3,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,1,4,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,5,4,Alabama,Thursday,US Mainland,Weekday (Mon–Thu)
2022,1,5,4,Alabama,Thursday,US Mainland,Weekday (Mon–Thu)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,1,4,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,3,4,Alabama,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,1,1,4,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,4,4,Alabama,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,3,4,Alabama,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,1,3,3,Alabama,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,1,4,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,2,3,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,2,4,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,3,4,Alabama,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,1,4,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,1,3,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,1,0,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,1,4,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,2,4,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,3,4,Alabama,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,1,4,4,Alabama,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,5,4,Alabama,Thursday,US Mainland,Weekday (Mon–Thu)
2022,1,1,4,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,3,4,Alabama,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,1,2,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,1,4,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,2,4,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,5,4,Alabama,Thursday,US Mainland,Weekday (Mon–Thu)
2022,1,5,4,Alabama,Thursday,US Mainland,Weekday (Mon–Thu)
2022,1,5,4,Alabama,Thursday,US Mainland,Weekday (Mon–Thu)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,7,3,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,1,4,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,4,4,Alabama,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,6,0,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,6,0,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,1,4,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,5,4,Alabama,Thursday,US Mainland,Weekday (Mon–Thu)
2022,1,3,4,Alabama,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,3,4,Alabama,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,1,3,4,Alabama,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,1,2,4,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,2,4,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,4,4,Alabama,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,1,1,4,Alabama,Sunday,US Mainland,Weekend (Fri–Sun)
2022,1,2,4,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,2,4,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,2,2,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,2,2,Alabama,Monday,US Mainland,Weekday (Mon–Thu)
2022,1,7,3,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,6,4,Alabama,Friday,US Mainland,Weekend (Fri–Sun)
2022,1,7,4,Alabama,Saturday,US Mainland,Weekend (Fri–Sun)
2022,1,4,4,Alabama,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,1,4,3,Alabama,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,2,5,4,Alaska,Thursday,US Mainland,Weekday (Mon–Thu)
2022,2,7,4,Alaska,Saturday,US Mainland,Weekend (Fri–Sun)
2022,2,3,4,Alaska,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,2,3,4,Alaska,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,2,7,4,Alaska,Saturday,US Mainland,Weekend (Fri–Sun)
2022,2,1,4,Alaska,Sunday,US Mainland,Weekend (Fri–Sun)
2022,2,6,4,Alaska,Friday,US Mainland,Weekend (Fri–Sun)
2022,2,3,4,Alaska,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,7,3,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,2,2,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,2,3,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,5,3,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,1,3,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,4,3,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,7,3,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,1,2,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,5,2,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,1,0,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,1,3,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,1,2,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,3,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,1,3,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,3,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,5,3,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,6,0,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,6,3,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,6,3,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,1,3,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,6,2,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,4,4,Arizona,Wednesday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,6,2,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,1,4,Arizona,Sunday,US Mainland,Weekend (Fri–Sun)
2022,4,5,4,Arizona,Thursday,US Mainland,Weekday (Mon–Thu)
2022,4,7,1,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,3,4,Arizona,Tuesday,US Mainland,Weekday (Mon–Thu)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,7,4,Arizona,Saturday,US Mainland,Weekend (Fri–Sun)
2022,4,2,4,Arizona,Monday,US Mainland,Weekday (Mon–Thu)
2022,4,6,4,Arizona,Friday,US Mainland,Weekend (Fri–Sun)
